,review
375,"A dramatic space in a former warehouse is made even more theatrical by clever lighting: the darkness of the dining room is juxtaposed with the brightness of the open kitchen, which sits on one side of the room like a stage, but your eyes will be drawn inexorably towards the white-jacketed chefs as they go about their work with quiet efficiency. Eating here is serious business, but happily the place isn’t blighted by a monastic atmosphere—a contented buzz fills the room, helped along by the chefs who deliver the dishes themselves and describe them with contagious enthusiasm.A warm ""consomme"" poured over Oscietra caviar and roasted new potatoes emits sweet and flavorful notes. Then poached trout over curds is boosted with salted white currants, lichen, and birch; while a coin of sourdough is enriched by smoked trout belly, roe, and preserved truffle. Ice cream made from bedstraw, caramel made from meadowsweet, and an elegant presentation of ""confections"" further epitomize this new Nordic cuisine that celebrates man’s relationship with nature and the changing seasons. It’s clever without being self-congratulatory, original without being gimmicky and complex without being complicated.
"
376,"Turkish Kitchen showcases all the classics but excels in the preparation of grilled meats. Indulge in yoğurtlu karışık, a dish of moist and smoky char-grilled lamb, chicken and spicy kebabs on a cooling bed of garlic-scented yogurt and pita bread. Pillowy beef dumplings also wade in a pool of that signature sauce topped with paprika-infused oil as well as a dusting of sumac, oregano and mint. A wide selection of Turkish wines makes a fine accompaniment to a hearty meal.Dangling globe light fixtures give the entrance to this cavernous, multilevel restaurant with floor-to-ceiling windows a modern glow. Tables are topped with pristine white linen and set between black and white striped chairs; cherry-red walls lend a pop of color.
"
377,"Mari, which means “roll” in Korean, is Hell’s Kitchen’s latest destination from the talented Sungchul Shim, who made a name for himself at his tasting counter (Kochi) just down the street. Those familiar with casual Japanese handroll counters are in for a surprise as Chef Shim reimagines the genre as a tasting menu, primed with top-notch ingredients and Korean flavors.Glistening planks of Ora King salmon; tender strips of cured mackerel; and melting slabs of pork belly marinated with ssamjang are placed on beds of rice cradled in seaweed. Chefs work swiftly, moving from one roll to the next with nowhere to hide in this kitchen, flanked by counter seats on all sides. A bowl of warm bone broth with pork belly and noodles closes out the generous progression.
"
378,"Leave it to this Tokyo-based ramen chain to offer one of the city’s best bowls. A refined tonkatsu is the house favorite but the smoked dashi ramen holds its own. All noodles are made in-house and boast proper spring and bounce. Starters also flaunt refinement, including the crisp-seared gyoza packed with pork, ginger, and set in a cast-iron pan sizzling with ramen broth. For something lighter but equally heartwarming, go for the kale salad dressed with an umami-packed vinaigrette and garnished with sweet pomegranate and grapefruit segments. Finish with mango milk shaved ice topped with a dollop of honey cream.The décor is sleek, featuring high ceilings, concrete floors, and everything necessary to make it a slam-dunk among the midtown lunch crowds.
"
379,"Wolfgang’s is no stranger to the bustling New York steakhouse scene. From the lunch hour business crowd to the lively, post-work bar scene, this dining room jams in locals and tourists alike—each coming for the classic fare and precise Manhattans. The service can be gruff at times, but they have a good track record of squeezing you into a table or perch at the bar without a reservation.Once seated, the bone-in Porterhouse, cooked rare, is the only way to go. It arrives sizzling in its own fat, perfectly seasoned. Save space for a slice of bacon—a must-order appetizer—creamed spinach and crispy German potatoes with yet more salt and fat (at this point, why not?). Just beware: while dishes are sized to share, they’re priced like Maseratis.
"
380,"Native New Yorker Chef Chris Cipollone, who cut his teeth at some of the city's finest kitchens, makes a splash with Francie, which has taken up residence in a striking, limestone-clad building. Named for the main character in a Betty Smith novel, this quiet haven—featuring sleek ash wood floors with a center tile mosaic, exposed red brick walls, and widely spaced tables—is very elegant and rather unforgettable.The open kitchen is a true-to-life stage for this team, who can be seen prepping, cooking, and putting the finishing touches on a series of gratifying plates. To start, a soufflé cake topped with caviar-crested seaweed butter that's replete with umami flavor; or butternut squash bomboloni oozing with cheese and packed with pancetta. An earnest, delicate, and expert hand is clearly at work behind the pasta (rigatoni dressed with sweet and meaty Calabrian pumpkin and savory Italian sausage); while a flaky and golden pithivier filled with minced vegetables, lentils, and greens gets a masterful stroke of lush hazelnut curry.This regal repast may come full circle at dessert with a candied pecan-topped cream puff full of soft maple and strong Bourbon.
"
381,"Elegantly accessed by a sweeping staircase (or elevator) in the Langham hotel's lobby, Ai Fiori stands proudly above its Fifth Avenue address. This perfect perch for pretty ladies with their deal-making beaus in tow is dominated by walls of windows and espresso-dark wood. The handsome marble bar and lounge furnished with tufted banquettes sets an ideal scene for a post-work drink; while large florals, leather chairs and square columns lure families into the formal dining room.Service is attentive, the linens are thick, chargers are monogrammed with a goldleaf “F” and every last detail is very, very lovely. As one might expect of a Michael White restaurant, the menu boasts of Italian favorites mingled with contemporary flair. Pastas are masterful, so begin with thin spaghetti tossed in a chunky tomato sauce infused with garlic, scallion, spicy chili and sweet crabmeat. Fish courses can be even more enticing—try the Atlantic halibut crowned with yellow squash and purple radishes or a plate of aromatic bouillabaisse.Desserts too shine through, as seen in the velvety Paris-Brest. Light, frilly and deliciously creamy with choux pastry and hazelnut-praline, it's almost too pretty to eat.
"
382,"With all due respect to Monday through Saturday, the best day may be ""Sunday in Brooklyn."" In contrast to its rustic bar downstairs, this stalwart now boasts a second floor dining room, with palm trees and whitewashed walls. A breezy vibe, old-school tunes and stirring sips encourages lingering. Add that to the fact that all baking is done on-site, and it's no wonder this is such a bit hit. Following suit, begin with crusty sourdough and creamy beer butter or warm and sticky buns. The kitchen also excels in smoking fish and fermenting vegetables.Brunch and lunch are big, but the chef curries favor with diners all day long. A wallet-friendly Dark and Stormy can be a fine tonic against inclement weather. Don't miss the market for irresistible pastries.
"
383,"It doesn’t get more classic New York than this iconic Restaurant Row institution. Opened in 1906, Barbetta is a testament to proper dining out, where outerwear is mandatorily checked and servers waltz around good-looking guests as well as the hushed, gilded surrounds donning neatly pressed tuxedos. Perhaps unsurprisingly, the impossibly romantic patio has been the backdrop for countless marriage proposals.The kitchen’s Northern-influenced specialties are listed on thick cardstock, and each item is highlighted by the year of its addition to the menu. Linguine with pesto alla Genovese is as scrumptious today as it was in 1914; while luscious rabbit alla Piemontese, dating back to the Clinton era and braised in white wine and lemon, is equally divine.
"
384,"To think of these arancini as mere “rice balls” is a slight on Sicilian cuisine; they are so much more. Nowhere else in the city will you dine on such crisp, classic beauties—filled with ragù, peas, mozzarella and rice cooked in chicken stock, then presented in a pool of light tomato sauce. Rest assured though as the menu goes on to list other authentic and deliciously rendered items, including the 'rianata pizza of Trapani.The rustic space is filled with old, crackle-glazed platters that probably held the exact style of the rich anelletti al forno, back in the Old Country. Before you leave, stock up on specialty ingredients that are strategically displayed for sale. Wine bottles racked up along the walls hint at a lengthy and noteworthy selection.
"
385,"Tucked next to the steely skeleton of the Williamsburg Bridge, Meadowsweet cuts a stylish industrial figure with its glass-fronted façade, whitewashed brick walls and original mosaic-tiled floors. Leather banquettes line the wall, and pendant bulbs illuminate one of several beautiful oil paintings of a meadow. Inside, the restaurant jumps with Williamsburg’s finest—along with more than a few bridge-hoppers from Manhattan and beyond. And that’s on a slow night.The fuss is quite merited. Despite ample competition in this section of town, Chef/owner Polo Dobkin and wife, Stephanie Lempert, manage to elevate the kitchen’s dishes into next-level territory, and they do so in a lovely, urbane setting with loads of charm and friendly service.The inventive American menu gets a lift from Mediterranean accents: fried artichokes served with a tangle of bitter-spicy arugula in a creamy vinaigrette are positively addictive. Crisped black bass with a parsley root velouté sings with a side of green apple cabbage, which is flecked with chunks of smoky bacon. There’s an impressive list of cocktails and wine; not to mention a globetrotting beer selection ranging from Austrian lagers to Japanese ales.
"
386,"More than just an icon of the NY dining scene—Peter Luger is a veritable rite of passage. Run on wheels by a team of gloriously forthright waiters, this munificent paean to beef doesn’t just serve legendary steaks, it provides a side helping of history too. The wood paneling and beer-hall tables tell of family gatherings, friends united, deal making, success celebrated and stories swapped. It’s evocative and unforgettable. It’s also unapologetically old-school—computerization and credit cards remain fanciful futuristic concepts, so you’ll need to come with a few Benjamins tucked into your wallet.Start with a thick slice of bacon to get your taste buds up to speed before the steak arrives. These slabs of finely marbled Porterhouse are dry-aged in-house for around 28 days, which means there’s tenderloin on one side of the bone and strip steak on the other. They are then broiled to perfection, sliced before being brought to the table, and served with their own sauce as well as a host of sides, which range from their version of German fried potatoes to creamed spinach.If you can still feel a pulse, go ahead and order dessert, if only to get a mound of their famous schlag made in the back.
"
387,"Taboon’s namesake brick-walled, wood-fired oven is burning a bit brighter these days since Chef Efi Nahon has returned to Hell’s Kitchen’s finest Middle Eastern dining room. That oven not only provides a heartwarming welcome and sets the whitewashed interior aglow, but it is also responsible for baking an incredible plank of bread that is alone worth a trip here.Bring friends because this midtown marvel’s menu is best enjoyed by grazing the list of zesty meze like house-made scallop and crab sausage shakshuka with poached quail egg, or a wild mushroom bread pudding with creamy taleggio and romesco. Vegetables aren’t spared the flames either, as evident in a luscious and healthy pile of roasted broccolini splashed with orange oil.
"
388,"While the décor may be more deli-meets-deco and there’s a tad less attitude, this food is every bit as good as it was on Second Avenue. Ignore the kvetching and know that this is a true Jewish deli filled with personality, and one of the best around by far.The menu remains as it should: kosher, meat-loving and non-dairy with phenomenal pastrami, pillowy rye, tangy mustard, perfect potato pancakes and fluffy matzo balls in a comforting broth. Have the best of both worlds with the soup and half-sandwich combination.Carve a nook during midday rush, when in pour those crowds. The deli also does takeout (popular with the midtown lunch bunch), and delivery (grandma’s latkes at your door). Giant platters go equally well to a bris or brunch.
"
389,"Fresh, soft-ripened, pressed, washed or blue—no matter what kind of cheese you prefer, Casellula is sure to have it. Better still, take advantage of their helpful tasting notes and try something brand new. Cheeses arrive with creative pairings like pickled fennel, lemon-zested hazelnuts and maybe even a glass of something from their vast wine list. Round out your meal with small plates of crostini or perhaps a hearty sandwich. For dessert, sweet potato cake is topped with brown sugar sauce and served with a scoop of butter pecan ice cream for just the right amount of sweetness.The cozy dining room is warm with flickering candles, wood tables and a delightful staff. It’s also small and fills up quickly, so parties of two should make a reservation.
"
390,"Even in Tokyo’s smart Ginza district, sushiyas tend to be discreet little places but there’s no such modesty here in midtown. In fact, this branch of the international chain has gone full-on Fifth Avenue, where even the ceiling is of cathedral-like proportions. The 16-seater cypress counter is the focus of the room and offers a luxe sushi experience—not unlike the staff who makes everyone feel special from start to finish.Here, particularly at lunch, you’ll find several Japanophiles satisfying their cravings by ordering ten or more pieces of nigiri before scurrying back to their offices. Some of the chefs are more engaging than others, but all work with the same practiced, fluid movements. At dinner, the omakase is a significant affair—reflected in the prices—where the itamae demonstrate their mastery over different seasonal fish. The koshihikari rice is yuki-tsubaki from the Niigata Prefecture and is seasoned with red vinegar, which makes it quite dark in color. Each piece is simply brushed with nikiri and occasionally some grated yuzu, but on the whole this is about enjoying natural flavors.The impressive selection of nihonshu, presented on an iPad, includes many small producers.
,
"
391,"Don Antonio’s knows its way around a pie. The namesake outpost, located in Naples, has been running strong since 1901. If that isn’t enough street cred to send you running to this beloved midtown pizzeria, then the generous buzz surrounding Roberto Caporuscio’s other NY venture, Kesté, will do the trick. This kitchen's signature is the Montanara Starita—a lightly fried pizza laced with house-made tomato sauce, smoked mozzarella and basil, then finished in the wood-fired oven. But really, who could stop there with treasures like the salsiccia e friarielli pizza to sample, highlighting crumbled fennel sausage, smoked mozzarella, rapini greens and a swirl of EVOO.Filled with unique Sicilian varietals, this wine list is more thoughtful than it needs to be.
"
392,"Featuring a manifold of rooms including a sunken area with close-quartered tables and a mezzanine with gold leaf walls, it is Tori Shin’s enclosed counter that retains the X factor. Packed with a mix of expense account crowds and casual walk-ins, this labyrinth of a restaurant exudes a lively energy, as does its chefs who can be seen fanning charcoal over a sizzling grill. What emerges is a host of skewers best ordered as part of the omakase.The kitchen’s focus is on such organically raised chicken parts as tenderloin with wasabi; boneless thighs with bell peppers; and smoky ribs with yuzu kosho. This worthy progression is then tailed by seaweed-seasoned sushi rice for a harmonizing feast. Shiso ice cream makes a fine denouement.
"
393,"Chef Daniel Boulud’s midtown canteen is fashioned by Jeffrey Beers and dons a contemporary demeanor. The front lounge is abuzz with post-work and pre-theater gaggles, while well-behaved crowds in the back are seated in a walnut-paneled space dressed with mirrors and black-and-white photography.Like its setting, the menu is inventive and unites classic bistro cooking with market-inspired creations. That lush pâté en croûte is a buttery pastry encasing layers of creamy country pâté, guinea hen and foie gras, dressed with huckleberry compote, toasted pine nuts and pickled enoki mushrooms. Wild rice-crusted fluke presented with Hawaiian blue prawn and sauce Américaine further demonstrates the kitchen’s contemporary leanings.
"
394,"Thanks to the trademark style of Chef Jason Marcus, this lovely Mexican favorite draws those chill, relaxed Williamsburg crowds into its slender space. Everything seems to glow beneath etched brass ceiling pendants, as servers carefully place course after well-paced course on those tiny tables.A delicious alchemy is at work here, as evidenced by the remarkably delicate corn flan tamal, topped with buttery roasted corn, set over garlic-poblano cream and tucked with pickled trumpet mushrooms. Tacos are also absolute standouts, thanks to soft, warm tortillas folded with roasted bone marrow, chorizo marmalade and charred lime. Like the menu, the beverage listing is loads of fun, with wines whimsically arranged under headings of iconic women.
"
395,"For flavorful Turkish food infused with contemporary influence, Pera serves to please. Lunch does big business in this attractive dining room, layered in a chocolate-brown color scheme and packed with corporate types as well as visitors looking for a sleek place to sojourn mid-day. Acoustics can be loud, but with food so fine, you’ll want to stay awhile.Dinner is more low-key but the menu always brims with simple, good quality and slightly renovated plates like warm hummus with pastirma; lentil and bulgur tartare; or watermelon chunks tossed with salty feta, tomatoes and olive oil. A forkful of their model and deliciously tender chicken adana with a side of addictively crispy fries has wide appeal and makes for a fitting feast—at all times.
"
396,"Kajitsu is a detailed study in subtlety. Serving shojin cuisine based on the precepts of Buddhism, this traditionally decorated  space is a second-floor sanctuary of peace. Inside, it offers table or counter seating; and service that is as charming as it is earnest.Such is the skill of this kitchen that you’ll forget in no time about the absence of fish or meat. It’s all about balance, harmony, and simplicity—and allowing the ingredients’ natural flavors to shine, whether that's the miso soup served with burdock root rice or spring roll filled with new harvest potato and fava beans. Your period of contemplation may come to a juddering halt when you find yourself back on Lexington, but for a few moments at least, you’ll feel you connected with nature.
"
397,"A multi-million dollar renovation hasn’t glossed over any of Gallagher’s iconic character. Walls covered with photos of horses and jockeys harken back to the seasoned stallion’s former proximity to the old Madison Square Garden. The menu’s “other soup” is a sly reference held over from Prohibition days; and diners still walk past the window-fronted meat locker where slabs of USDA Prime beef are dry-aged.Gallagher’s fresh sparkle is exhibited by the display kitchen, set behind glass panes. The chefs here turn out contemporary-minded fare like hamachi crudo with a yuzu-jalapeño vinaigrette to go with choice cuts of meat grilled over hickory. The rib steak is a bone-in ribeye that arrives mouthwateringly tender with a side of warm and savory house sauce.
"
398,"This luxe fine dining operation, with a classically old-school moniker, resides in the one of the city's newest skyscrapers. Chef Daniel Boulud has done it again, fashioning a room that makes the well-heeled feel right at home. Plate glass and soaring ceilings are softened by a warm palette and greenery throughout. The bar, a prized perch, is a glossy, dark stone affair ringed by sleek seats and crowned by a dramatic blown glass chandelier.The kitchen skillfully prepares a contemporary, globally inflected carte dominated by seafood and vegetable-focused items. Recent highlights included torchetti pasta with Maryland jumbo lump crabmeat and a flourish of heirloom sweet peppers; or the amber-skinned rotisserie chicken breast with a root vegetable pot pie.
"
399,"This inspired little South Williamsburg spot finds its culinary niche in mixing Japanese and Ashkenazi Jewish fare. Not all the dishes are a fusion of the two styles, but many—like the matzoh ball ramen or the terrific lox bowl stuffed with avocado, Japanese pickles and sushi rice—cleverly straddle both cuisines.Kick things off with perfectly presented toro tartare over house-baked sake kasu challah, spread with scallion cream cheese and topped with “everything” spice; or deliciously tender teriyaki duck wings, a duo of drumsticks glazed to sweet-and-salty perfection and finished with a flutter of scallions and pickled ginger. For dessert, the chocolate-banana challah bread pudding with whipped crème fraîche and whiskey caramel, is a worthy splurge.
"
400,"Encounter large smiles and a particularly warm and welcoming vibe as you enter this chic and convivial wine-focused establishment. While it may be located on a relatively quiet strip, don't be fooled as there is a palpable buzz within. This is largely thanks to the culinary expertise and creativity of Chef Nick Curtola as well as the celebrity cachet of owner James Murphy (LCD Soundsystem).Inside, the décor is as minimalist as their succinct menu. Start with chicken liver mousse or the stalwart yellowfin tuna dressed tonnato-style and made bright with yuzu kosho. Montauk scallops cured in a vibrant leche de tigre have a fantastic Thai bent enhanced with the earthy edge of thinly sliced kohlrabi. Just like cultured butter is a perfect companion to their warm house-made bread, slices of sweet Bosc pear and salt-baked onion augment beautifully crisped and properly rendered Long Island duck. Let the sociable staff talk you into closing over a quince-and-frangipane tart with citrus-whipped cream.This neighborhood gem is laser focused when it comes to wine varietals, so if their wide-ranging, impressive selection has you atwitter, fret not; it also features half-glasses for abundant sampling.
"
401,"If anything indicates the strength of New York City’s Japanese restaurants, it is the growing number of authentic establishments that seem like they could be sitting just as happily in Ginza as they do in midtown Manhattan.Tempura Matsui is such a place, as it skillfully demonstrates why tempura is a celebrated Japanese cuisine type in its own right. Of course, the prized seats are at the counter, especially if you want to see this master at work.The chef uses a mix of sesame and cottonseed oils; and the gently bubbling pot is refreshed and replenished regularly. Equally important, the batter is used sparingly so that the ingredients taste truly of themselves. You’ll start with a parade of seasonal dishes including tofu with uni, before having some beautifully arranged sashimi. It is then time for the main event, which begins in the traditional way with crispy shrimp legs. The ingredients and fish turned out of this kitchen usually vary according to the seasons, but could include the likes of wonderfully tender squid, succulent Hokkaido scallop, plump matsutake, as well as subtly sweet onion. And be sure to end with tencha, with its mellow, delicious and deeply flavorful broth.
"
402,"Step through this buffed metal doorway to find an oenophile’s fantasy where Zalto stemware is stacked high and each polished glass is ready to be filled by one of the 200 selections brilliantly curated by Le Bernardin’s super-star sommelier, Aldo Sohm. Over 40 wines on the list are offered by the glass.A tailored crowd sits and sips—perhaps on an oversized U-shaped sofa, at a comfy counter or at one of a handful of tall tables. The scene is luxe but also comfortable, featuring crystal fixtures and a stylish array of bric-a-brac stacked high to the soaring ceiling. Tapas-sized snacks are designed for sharing with wine consumption in mind and include a plate of cheeses, charcuterie, harissa-roasted carrots or chicken drumstick prepared coq au vin-style.
"
403,"This tantalizing spot nestled into a renovated garage arrived with the barbecue boom that hit the city in the early aughts, when serious chefs started taking excellent cuts of meat and giving it the smoker treatment. Today, it is still one of the best in the game, with a casual, hangout vibe, where you order cafeteria-style; then eat your goodies on butcher paper-lined trays at long, communal picnic tables. Sauce bottles, including an addictive and delicious Carolina mustard version, are peppered throughout the room. The focused menu offers exceptional pulled pork, brisket, and dry-rubbed ribs. Sides like German potato salad and broccoli salad are just as delightful.The bar features a solid lineup of small batch American spirits and local draft beers.
"
404,"In contrast to its reputation, this hip and popular rookie sits on a quiet corner of Kent Avenue. Steps away from the waterfront, it isn't as beloved for its views as it is for its uplifting vibe, set by Owners Ria Graham and husband, Kevol. This is cooking that pans the Caribbean and the kitchen team infuses it with unique twists. Yard-long flatbreads, like the rasta pasta, are a favorite, thanks to the presence of shrimp, Jamaican callaloo, and plantain. Other hits include the vegetarian whole-roasted cauliflower in cashew sauce seasoned with allspice. Fish tacos and braised oxtail will leave you wanting for more.Weather permitting, sit outside, groove to the DJ's beats, and devour a Kokolada pineapple rum cake. Sound like bliss? It is.
"
405,"This gem stands out for its keen understanding and delicious rendering of Vietnamese cuisine, which is rather rare in these parts. Shelves of market goodies lure passersby into the cool, contemporary space, fitted out with a central open kitchen, two vast dining areas, and a cozy backyard.The kitchen team straddles the line between subtle and savory with ease and creativity. Follow the example of a Vietnamese rice tamale filled with shrimp, chilies, and pork cracklings for a compelling bite. Fried shrimp toast with jackfruit, lime juice, and fennel fronds is a flavor bomb; while crêpes stuffed with maitake mushrooms and duck prosciutto are amplified by fish sauce. The lavish spread comes a full circle with sesame brittle atop sweet corn tapioca pudding.
"
406,"It might be easy for Klein's to mail it in being that it's on the bottom floor of the stylish Hoxton Hotel. But, despite its ultra-chic, vintage-luxe setting—with sky-high exposed brick walls and an open kitchen lined with stools for chef-gawking and drinking—it manages to infuse its diverse fare with devoted care and attention. Service is helpful and although there is a hefty sprinkling of locals, the vibe is celebratory.Dinner might begin with warm tortilla chips and a savory avocado dip with feta and spiced pepitas. Mains may unveil a double-decker chicken sandwich with cool cucumber, dill yogurt, and hot sauce—as well as a side of irresistible fries. The refreshing Summer Daze (Tequila Altos, pineapple, lime, and tajin salt) hits all the right spots.
"
407,"There is a spartan appearance to this sushi temple, where honey-toned bamboo slats are by far the warmest decorative feature. Reservations require confirmation and punctuality, but to sushi-loving diehards, this is just the cost of admission.Avoid the tables packed with suits (this is midtown, after all) and request a seat at the sleek counter—it’s where the magic happens. Your experience here depends entirely on the soft-spoken, attentive and very focused itamae working before you, as his signature style will guide your meal. Their mission is to ensure that each diner receives a wide variety of fish that has just been cut, formed and dressed moments before it is eaten.The kitchen lives up to its hype by ignoring new wave trends in favor of serving classically assembled and spectacularly pristine sushi. Every item is handled with the utmost care, especially the progression of sashimi highlighting the ample textures of mackerel, tuna and salmon. Outstanding clams and scallops are seasoned with a touch of lemon and sea salt flakes to enhance their natural taste; while nigiri featuring Maine and Japanese uni tastings underscore the subtle differences in flavor.
"
408,"To taste what may be the continent’s best sushi, experience the quiet, contemplative and very exclusive ceremony of Chef Masa Takayama’s omakase. Everything here carries a certain weight, beginning with the heavy wooden door and carrying through to the bill. The room of course is as unchanging and calming as a river stone, set amid blonde hinoki wood and a gargantuan forsythia tree. Yes, you’ll forget it’s on the fourth floor of a mall.Attention to detail is unsurpassed and at times it may seem like a bit much, but a reverential spirit is part of your meal here. Service displays the same smooth grace, with servers at-the-ready carrying their hot towels, fingerbowls, tea and bits of insight.Awaken the palate with a sweet chunk of hairy crab meat dressed in citrusy yuzu beneath creamy tomalley. This may be followed by the chef’s signature glass coupe of minced toro and a very fine—and very generous—pile of Osetra caviar. Maine uni is downright wondrous, served in its shell with caramelized custard and paper-thin, melting sheets of white truffle. The chef’s selection of sushi is unrivaled; the rice is firm and temperate, garnishes are subtle, and quality of fish is supreme.
"
409,"This is a steakhouse in the moneyed Time Warner Center after all, so deals here are going down almost as quickly as those bottles of Château Margaux. Still, this isn’t a suits-only haunt; in fact, the intuitive service makes everyone feel like a bigwig. And the Central Park views are worthy of the price tag alone.The food is straightforward, featuring crab cakes with horseradish-mustard sauce and charred cowboy rib steak. But, don’t shy away from other equally surprising items, including sweet, slightly al dente corn bathed with a delightfully rich and creamy sauce. South Carolina coconut cake is one fluffy layer after another topped with a smooth and not-too-sweet icing as well as a heap of shaved coconut for just the right bit of crunch.
"
410,"It’s a jam-packed lunchtime operation here at Soba Totto, where business folks gather and quickly fill the popular space. As the name suggests, everyone arrives in droves for the tasty homemade soba. Dinnertime brings a mellower vibe, and a crowd of beer- and sake-sipping patrons ordering tasty plates of spicy fried chicken and yakitori galore.Midday features several varieties of lunch sets. Tasty appetizers may unveil a salad of assorted pickles and simmered daikon in a sweet ginger dressing. Skip over the fried seafood in favor of the soba totto gozen set, which includes the wonderful noodles in fragrant dashi; or try one of the many delicious dons topped with tasty tidbits like sea urchin and salmon roe or soy-marinated tuna, grated yam and egg.
"
411,"A shiny black awning marks the entrance to this slightly antiseptic yet considerably authentic sushi bar. A few rooms done in traditional Japanese style provide seating choices at this den, which hums with business groups on the run and neighborhood dwellers seeking fantastic value lunches as well as terrific quality sushi in the evening.Choose to dine at their beloved counter or at a table in the well-lit dining room, attended to by speedy servers. Then, dive in to generously sized lunch specials featuring perhaps a colorful chirashi, headlining yellowtail, salmon, tamago and amberjack set deftly over well-seasoned sushi rice. Sticky glazed eel, nicely grilled and plenty fatty, is an absolute must, as is the impressive omakase for dinner.
"
412,"After much anticipation, Le Crocodile threw open its doors and the crowds came pouring in for its fine French cuisine, executed with meticulous detail and care. This hip setting is largely composed of soaring ceilings, an array of windows, vibrant mosaic tile floors, and cast-iron columns. A spacious, verdant and breezy outdoor patio is yet another perch from where diners can savor the plates turned out by Chefs Aidan O’Neal and Jake Leiber.A plate of silken leeks comes together with a vinaigrette and toasted, crushed hazelnuts; while the chicken liver pâté with cornichons and a layer of berry fruit gelée is simple, luscious and classic to a tee. Tarte au citron is coddled with a dollop of fresh whipped cream and lemon zest for a rich and warming <i>finis</i>.
"
413,"The longevity of Chef Jean-Georges Vongerichten’s flagship can be due to many factors—a sumptuous setting, a discreet aura, and superior French cuisine. Like walking through Business on your way to First Class, you have to pass through buzzy Nougatine to get here. Low-slung chairs and large tables mean you need a certain confidence in your conversational delivery if you wish to entertain the whole table.Dishes showcase everything from attention to detail and impeccable products to thoughtful garnishes and nuanced flavors. The omnivore menu is also appealingly versatile thanks to contemporary accents and classic techniques. Picture charred beets with tamarind and saffron or buttery Wagyu with crispy potato and black truffle to get those taste buds going.
"
414,"There are three Indian Accents: New Delhi is the most glamorous and London the most intimate. New York however delivers the most bustle, but they all celebrate the increasing sophistication of this sub-continent’s cuisine by offering contemporary specialities and elevated street food from a number of regions in balanced, well thought out tasting menus. The clued-up staff knows their syllabus and offers sound recommendations.There are other similarities, not least in the fact that some dishes, like the ghee roast lamb with roti, appear in all three. The best items, however, are often those that could persuade you to take up vegetarianism full time, including the sweet potato shakarkandi or baby idlis that feature extra firepower courtesy of “gunpowder.”
"
415,"Two superstar chefs arrive in one package with the elegant Mifune and omakase bar, Sushi Amane, which is located downstairs. Chef Hiroki Yoshitake presents delicious, contemporary Japanese cuisine here at Mifune, in a space featuring cement walls, blonde wood and cozy backlighting.Alongside tempura, rice dishes, and other delightful entrées, this menu also offers a daily selection of sashimi. Tender smoked butterfish arrives with shaved radish rounds, nasturtium leaves and a bright chimichurri-like sauce made from garlic, herbs and oil. Then, grilled chicken Yuan-style appears in a mini cast-iron skillet, brushed with an irresistible teriyaki-based sauce, and paired with knobs of tender, buttery potatoes, snap peas and frizzled leeks.
"
416,"Call it a trip to Tokyo without the tariff—this sleek izakaya is tucked down a side street in bustling midtown. Once inside, grab a table for two or join the crowd at the open kitchen counter surrounding the smoky robata. The waiters talk up the omakase, but it’s worth letting your own instincts guide you on a personalized tour of their offerings.Dishes boast a great value, especially the lunch set, starring hamachi and salmon sashimi, miso- and soy-glazed cod, chilled cabbage and daikon, as well as grilled Washu beef. Sukiyaki is a seasonal special of beef served in a hot pot with tofu, vegetables and noodles. Other standbys include smoky bamboo shoots with bonito; and tsukune, a ground chicken meatball brushed with teriyaki and dipped in raw egg.
"
417,"If you’ve eaten at Mifune and wondered why you saw some customers with expectant grins being ushered downstairs, it’s because they were lucky enough to secure reservations at Sushi Amane.Behind the soft and silky wood counter, with seating for just eight, stands the confident figure of Chef Shion Uino. He looks young because he is young, but then again he started early and garnered over eight years’ experience at the highly garlanded Sushi Saito in Tokyo before setting sail for NYC. His experience is evident in the number of dishes served before the nigiri, which may include creamy uni from different regions of Japan; delicious hairy crab served in its shell; steamed scallop wrapped in nori; and tender abalone.When it comes to the nigiri, the chef also shares his alma mater’s attention to detail and insistence on consistency. Each piece is given just a light brush of nikiri so that the focus remains on its natural flavor, whether that’s the silvery kohada, luminous white squid or the golden anago. The rice, at slightly above body temperature, leaves a lasting impression. There are two seatings—at 6:00 and 8:30 PM—and as diners are served together it’s important to arrive on time.
"
418,"This Alain Ducasse bistro, housed in the venerable La Côte Basque space, may have been renovated in recent years, but it remains decidedly Old World in look, feel and taste. The setting remains a sight to behold, with its abundant framed mirrors, red velvet banquettes and oak paneled walls. In the front salon, two red wingback chairs are tilted in to face a working fireplace and make an idyllic spot for nibbling madeleines at the end of your meal.The unabashedly French menu is stacked with comfortable, familiar bistro dishes that feature the likes of cassoulet, pâté en croûte and foie de veau. Traditional desserts are a highlight, especially the crème caramel, flecked with vanilla beans and served in a generous pool of sauce.
"
