,0,1
177,"<div class=""js-show-description-text""><p></p><p>This ever-trendy yet refined Italian ristorante is as much coveted for its gorgeous setting as its lineup of rustic, tasty fare. The ambience is always abuzz and everyone looks beautiful amid low lights, a long bar, and walls adorned with wine bottles.</p><p>Breakfast verges on divine—think lemon pancakes and <span>...</span></p></div>",
178,"<div class=""js-show-description-text""><p>The cuisine describes itself as “New Korean,” which means it does lean westwards quite considerably; indeed, some of the wonderful sauces turned out of this versatile kitchen wouldn’t be out of place at a grand French table. But what is most impressive here is that the Korean elements of the <span>...</span></p></div>",
179,"<div class=""js-show-description-text""><p></p><p>The name says it all—Tiny’s is indeed tiny, but in that old New York, wood-burning fire and pressed-tin ceiling kind of way. Enter this narrow Federal-style home (c. 1810) and sidle up to the beautiful people along the pew seats that overlook a poster of the Marlboro Man. Alternatively, <span>...</span></p></div>",
180,"<div class=""js-show-description-text""><p></p><p>It’s easy to see why The Odeon has been a part of the fabric of TriBeCa life for so long. Like watching a re-run of Seinfeld, it is reassuringly familiar, classically New York and, even when you know what’s coming next, still eminently satisfying. The menu is a roll-call <span>...</span></p></div>",
181,"<div class=""js-show-description-text""><p>No expense was spared in the design of restaurateur Andrew Carmellini's Italian chophouse, located at Pier 17 in the South Street Seaport, where a bustling horseshoe-shaped bar anchors the ground floor and a team of sharply dressed servers manage the upstairs dining room, outfitted with Tuscan leather banquettes, Venetian mirrors <span>...</span></p></div>",
182,"<div class=""js-show-description-text""><p></p><p>Building Tamarind cost a cool five million, and it shows—every inch of this soaring space oozes with grandeur. With its classic TriBeCa edifice and gorgeous marble bar (an ideal perch for post-work indulgence), the glass-fronted behemoth draws a posh crowd of Wall Streeters and well-heeled locals.</p><p>Most impressive of <span>...</span></p></div>",
183,"<div class=""js-show-description-text""><p>This bakery-café headed by the talented Daniel Eddy is an exceptionally perch for bread fans. Nestled in a semi-commercial strip in Park Slope and flanked by restaurants, stores and verdant Prospect Park, it boasts a ""winning"" location and culinary repertoire.<br/>Regulars know to get here early to score Pastry Chef Ali Spahr <span>...</span></p></div>",
184,"<div class=""js-show-description-text""><p>Waterfront dining is a rare treat on the island of Manhattan, so when Chef Jean-Georges Vongerichten launched this dining room at Pier 17, New Yorker's came a calling. Having taken its name from the city's iconic fish market, formerly housed here, seafood is the menu's driving force. The space features <span>...</span></p></div>",
185,"<div class=""js-show-description-text""><p>The word “Farra” has several meanings, all of which would be appropriate for this sleek retreat. Attractive, fun, and a bona fide party, Farra is a full-fledged restaurant that promises to garner a cultish following. With no charcuterie, cheese plates, or paninis in sight, diners can rest assured of savory, sumptuous <span>...</span></p></div>",
186,"<div class=""js-show-description-text""><p></p><p>Counter dining can sometimes mean lots of elbows; fortunately, this one is large enough to ensure you’re sufficiently secluded, while still letting you enjoy the immersive experience. Danish chef Ronny Emborg and team serve up a menu of courses that progress from light and subtle to rich and robust. Things are certainly grown-up here, with <span>...</span></p></div>",
187,"<div class=""js-show-description-text""><p></p><p>Now under the command of Chef Shion Uino, this quiet sushi-ya features prized, beautiful seafood sourced primarily from Japan. Never, at any point, does it look like the chef is cutting from a filet he’s already sliced. The product is whole and luscious every time, which is all the more reason <span>...</span></p></div>",
188,"<div class=""js-show-description-text""><p></p><p>This ambitious operation has a clear sense of purpose. Its name refers to the two stones used to grind grain; the location is just blocks from where the city’s first tidewater grist mill once stood; and a Per Se alum heads the bakery. Inside, the theme continues with walls <span>...</span></p></div>",
189,"<div class=""js-show-description-text""><p></p><p>Oaxaca by way of Gowanus? When it’s this seriously delicious, you bet. Brought to you courtesy of Chef T.J. Steele, this Mexican charmer was an instant hit. Locals were particularly quick to head to the restaurant's breezy backyard, where groups take to the clever mezcal-focused cocktail list. Of course, as word <span>...</span></p></div>",
190,"<div class=""js-show-description-text""><p></p><p>Inspired by the word ""husmanskost"" meaning “everyday food"" in Norwegian, this delightful little offering arrives courtesy of Chef/owner Ned Baldwin. Set just around the corner from the legendary Ear Inn, it sports a small, but sharply designed interior, replete with schoolhouse chairs and reclaimed bowling alley wood tables.<br/>This menu is all <span>...</span></p></div>",
191,"<div class=""js-show-description-text""><p></p><p>Zinc bar, marble floors, burgundy leather banquettes—it’s textbook brasserie with a smattering of art deco finesse. Frenchette arrives courtesy of Riad Nasr and Lee Hanson, veterans of some of the city's most beloved brasseries, and this duo has perfected their Parisian-laced panache.</p><p>This place is so much more than <span>...</span></p></div>",
192,"<div class=""js-show-description-text""><p>This West Broadway corner will be familiar to those who know their restaurants as it has hosted many a seminal establishment. Drew Nieporent’s Bâtard is no exception. Open since 2014, the cooking remains precise and accomplished under Executive Chef Doug Brixton. Seasonality is at the heart of the menu—evidenced by <span>...</span></p></div>",
193,"<div class=""js-show-description-text""><p></p><p>Located just below street level on frenetic Atlantic Avenue, a nondescript façade holds a quiet den of serious Neapolitan pizza magic. Enter and you’ll find a simple, narrow, wood-paneled room with whitewashed brick walls; a little bar showcasing a handful of wines; an enormous, two-ton clay oven (imported directly <span>...</span></p></div>",
194,"<div class=""js-show-description-text""><p>This delightfully named operation (PDA is short for public display of affection) is a fitting reflection of the owners' (Robert and, sister, Emi Guimond) charming vision. Pizza is far from a novelty in NYC, but this venture boasts the sort of success that other area spots can only dream of. <span>...</span></p></div>",
195,"<div class=""js-show-description-text""><p>This is the kind of spot that serves food so memorable you'll find yourself craving the same meal well after your visit. The kitchen is known for surprising diners at every twist and turn, as evidenced by the tteokbokki—spicy rice cake topped with Oaxacan cheese and chorizo. Less Korean leaning but <span>...</span></p></div>",
196,"<div class=""js-show-description-text""><p>Boerum Hill’s most bodacious deli serves up killer smoked meats among other treats whose caloric content rivals a week’s worth of eating. This is Montreal Jewish fare, the stuff comfort food dreams are made of. Think of thin slices of corned beef piled high, topped with kraut and Russian dressing, <span>...</span></p></div>",
197,"<div class=""js-show-description-text""><p>Welcome to a realm of understated elegance at this ground-floor restaurant of The Dominick hotel in Hudson Square. Vestry is a foolproof destination for guests craving a quiet evening in an intimate setting that fortunately also prepares truly gratifying cuisine. In terms of décor, envision handsome herringbone-laid plank floors, luxe <span>...</span></p></div>",
198,"<div class=""js-show-description-text""><p>Chef Victoria Blamey, aided by a small but talented team, impresses diners with a range of unique cuisine that brims with personality. Finding the alley entrance may pose a challenge for even the most knowledgeable New Yorker, but that's part of the fun (spoiler alert: it's housed within the Walker <span>...</span></p></div>",
199,"<div class=""js-show-description-text""><p></p><p>This husband-and-wife operation, marked by a yellow-awning and large windows that look out onto the street, is a forward-thinking local favorite. Serving rustic food to an ever-changing neighborhood, this kitchen caters to that special, old-school sort of diner—who may be found lunching on trippa alla Toscana (tender honeycomb tripe served with crusty sourdough) or insalata <span>...</span></p></div>",
200,"<div class=""js-show-description-text""><p></p><p>Some things in life are worth dressing up for, and a visit to the illustrious River Café is certainly one of them. It enjoys, without question, one of the greatest settings of any restaurant, lying as it does in the shadow of the Brooklyn Bridge. In fact, the cityscape <span>...</span></p></div>",
201,"<div class=""js-show-description-text""><p>Owners Amy Besa and Romy Dorotan mix and match Filipino dishes in a distinctly successful way at this neighborhood café. Arguably one of the most fast-growing and intriguing cuisines on both coasts, this outpost from the team behind ""Memories of Philippine Kitchens"" flaunts a smart, urbane mix of local families <span>...</span></p></div>",
202,"<div class=""js-show-description-text""><p></p><p>This hot spot is sequestered into the opulent emporium by noted interior design firm, Roman and Williams. It’s all in the family here, where the principals have partnered with Stephen Starr—the prolific restaurateur behind neighboring Le Coucou—and the chef, Marie-Aude Rose happens to be married to Le Coucou’s very <span>...</span></p></div>",
203,"<div class=""js-show-description-text""><p></p><p>Sushi Katsuei does Park Slope proud flaunting some of the borough’s best sushi, expertly seasoned and sliced. Humming with locals, families and their kids in tow, the mood here is always upbeat and warm. While the counter appears to be reserved for their regular diners, tables are attended to <span>...</span></p></div>",
204,"<div class=""js-show-description-text""><p></p><p>Everything about this oft-packed and quintessentially SoHo “café” is thoroughly warm and welcoming, thanks to Chef Ignacio Mattos’ passion and desirably personal cuisine. His flavors are elegant and yet surprisingly novel, as may be found in the delicious pasta course unveiling candele cacio e pepe. Diners may then look forward to a straightforward <span>...</span></p></div>",
205,"<div class=""js-show-description-text""><p></p><p>EN doesn’t pander to the spicy tuna-loving set, but effectively pays homage to highly seasonal Japanese cooking. In such simple and delicate food, flawless execution is a must so don’t hesitate to ask for a recommendation. Also on offer are three, exceptionally priced kaiseki menus. The informed staff is <span>...</span></p></div>",
206,"<div class=""js-show-description-text""><p></p><p>If you’re going to name your place after a single item of food, you need to have mastered its cooking. Fortunately, Chef/co-owner Mike Price knows exactly how to get the best out of these versatile little tidbits of delight—whether they are grilled in their shells with buttered crumbs or even <span>...</span></p></div>",
207,"<div class=""js-show-description-text""><p></p><p>Thái So´n is by far the best of the bunch in this Vietnamese quarter of Chinatown. It’s neither massive nor fancy, but it’s bright, clean and perpetually in business. One peek at the specials on the walls (maybe golden-fried squid strewn with sea salt) will have you begging for <span>...</span></p></div>",
208,"<div class=""js-show-description-text""><p></p><p>Named after the South Korean island that's renowned for its high quality pork, this corner ""bar"" aims to take that nation's comfort food and elevate it to sophisticated heights. As envisioned by Chef/owner Douglas Kim, the kitchen specializes in ramyun—not ramen.</p><p>The dining space mixes old West Village charm <span>...</span></p></div>",
209,"<div class=""js-show-description-text""><p></p><p>There’s nothing like a discreet entrance to raise expectations—and Hirohisa is nicely concealed on Thompson Street. When you do find it, you enter into a stylish, beautifully understated and meticulously laid out room that looks like a page from Wallpaper magazine. It’s run with considerable charm by an unobtrusive <span>...</span></p></div>",
210,"<div class=""js-show-description-text""><p></p><p>This wildly popular joint is still packed to the gills most days, and for good reason: the Cantonese fare and dim sum served here is as good as the food you’ll find in those authentic places in far-flung Queens. Even better, they take reservations—and dim sum orders are taken <span>...</span></p></div>",
211,"<div class=""js-show-description-text""><p></p><p>Take one part Chef Daniel Rose, France’s favorite American expat, and add Philadelphia-based power restaurateur Stephen Starr, and you have Le Coucou, with its white-hot scene that’s equal parts classic and cool.</p><p>Patrons linger late into the night amid plush velvet chairs and custom chandeliers, enjoying exceptional service and a view of the bustling <span>...</span></p></div>",
212,"<div class=""js-show-description-text""><p></p><p>Chef/owner Giacomo Romano defines this rustic little spot as an alimenteria—a place where patrons can find ever-changing temptations day or night. This may mean a hearty panini or ribollita for lunch or satisfying pasta for dinner. The sunny space is a former antique store that fashions a raw look through whitewashed <span>...</span></p></div>",
213,"<div class=""js-show-description-text""><p></p><p>With their roll call of “fashionable” ingredients garnered from all corners of the globe, restaurant menus can sometimes look as though they’ve been put together by a promiscuous explorer rather than an inquisitive chef. But, not all of us always want loquat with our lunch or dashi with our <span>...</span></p></div>",
214,"<div class=""js-show-description-text""><p></p><p>This age-old dim sum parlor, spread over many floors in an office building, is one of the few Cantonese spots that actually has the space and volume to necessitate its parade of steaming carts brimming with treats. While Golden Unicorn’s system is very efficient and part of the spectacle, <span>...</span></p></div>",
215,"<div class=""js-show-description-text""><p>Named for the street upon which it lives, this intimate ""inn"" has arrived on the scene, thanks to the venerated team of Rita Sodi and Jody Williams. The space has a vintage feel with antiques and warm wood accents. Upon entry, the room opens up—to the right is the superior <span>...</span></p></div>",
216,"<div class=""js-show-description-text""><p>This tavern has quickly become the ""it"" spot in SoHo, where one is almost guaranteed to see a line of fashion-forward diners waiting for a chance to tuck into their famously tender and delicious lamb chops. Inside, it's tight but nobody seems to mind. The dining room's white stucco walls <span>...</span></p></div>",
217,"<div class=""js-show-description-text""><p></p><p>Invite plenty of dining companions to share heaping plates of roasted meats and rice and noodle soups at this wallet-friendly treasure. Locals stream in until the 4:00 A.M. closing bell for their great Cantonese dishes—food is clearly the focus here, over the brusque service and unfussy atmosphere. Guests’ gaze quickly pass <span>...</span></p></div>",
218,"<div class=""js-show-description-text""><p></p><p><span>It’s an art form to make delicious food look this easy. Chef/owners Clare de Boer and Jess Shadbolt met working at London's esteemed River Café, then banded together with Annie Shi to open King. The popular bar area leads to an intimate rear dining space lined with bright artwork <span>...</span></span></p></div>",
219,"<div class=""js-show-description-text""><p><span><span><span><span>The original outpost of the legendary Blue Ribbon empire begins here in SoHo, with Bruce and Eric Bromberg opening this brilliant charmer in 1992 to instant acclaim (and plenty of fellow chef loyalists). Nearly 30 years later, those cozy booths and bar seats remain packed to the gills, namely because <span>...</span></span></span></span></span></p></div>",
220,"<div class=""js-show-description-text""><p></p><p>Of all the restaurants that dot this stretch of SoHo, none are hipper and hotter than Charlie Bird. You’ll be greeted by a blast of beats upon entry, where a long bar leads to the cool brick-lined dining space armed with leather seats.<br/>From there, things just take off: along with <span>...</span></p></div>",
221,"<div class=""js-show-description-text""><p>Make your way down down an alley, ring the doorbell, and be escorted past a sliding door to arrive at this dark and moody dining room from Chef Kunihide Nakajima. Rather than pops of color, the aesthetic is decidedly stark, black, and tan. Slate floors echo with the sushi master's <span>...</span></p></div>",
222,"<div class=""js-show-description-text""><p></p><p>Hwa Yuan gives locals a rather delicious taste of history. Its famed cold noodle recipe dates back to 1968 and is as solid as ever. Owned and operated by the same family since day one, the restaurant has regained its status as a neighborhood delight. The tri-level space evokes Chinatown’s heyday, with helpful service <span>...</span></p></div>",
223,"<div class=""js-show-description-text""><p></p><p>Beyond this quaint and charming façade lies one of Little Italy’s famed mainstays, ever-popular with dreamy-eyed dates seeking the stuff of Billy Joel lyrics. The expansive space does indeed suggest a nostalgic romance, with its series of Mediterranean-themed rooms, though the most celebrated is the pleasant garden atrium (il <span>...</span></p></div>",
224,"<div class=""js-show-description-text""><p></p><p>Somehow, this warm little Brazilian café has been hiding in plain sight for over two decades. The white room’s clean décor, votive candles and jazz music keep it homey yet fashionable enough for the sophisticated downtown locals who regularly seem to populate it.</p><p>Come here on a wintry night <span>...</span></p></div>",
225,"<div class=""js-show-description-text""><p></p><p>The elusive sign, the secretive feel, the tiny space, the keenly priced menu with a plate for every palate—yes, this is the sort of place we’d all like up our sleeve when friends want a recommendation in the Village. It’s warm, welcoming and cozy and you’ll be reluctant to <span>...</span></p></div>",
226,"<div class=""js-show-description-text""><p></p><p>In a city that changes faster than you can go from uptown to down, Raoul’s (open since the 1970s) is a stalwart—here long before SoHo was a brand name. Once inside, order a cocktail and admire the art-filled walls; it’s a veritable walk through memory lane for the bohemian <span>...</span></p></div>",
227,"<div class=""js-show-description-text""><p><span>Eastern Mediterranean cooking comes alive under the talented eye of Chef Ayesha Nurdjaja at this popular SoHo </span><span>restaurant. Shuka's </span><span>dining </span><span>room buzzes with that quintessential downtown New York confidence. On balmy days, find those bright blue wood-framed doors swung open—of course.</span><span>Start with the delicious whipped feta with pistachio and dill; a bright fattoush <span>...</span></span></p></div>",
228,"<div class=""js-show-description-text""><p>A series of successful pop-up dinners from Blue Hill at Stone Barns alum, Kevin Chen, inspired this stylish Asian-leaning tasting menu delight in the West Village. A glowing neon paperclip marks the glass-front façade; inside, the modern interior is left stark, clean, and simple in order to highlight the bright <span>...</span></p></div>",
229,"<div class=""js-show-description-text""><p></p><p>Buzzy and beloved since day one, Chef Andrew Carmellini’s The Dutch quickly became a major hit and SoHo institution. Its primo corner windows open on to the sidewalk, tempting guests inside with a stocked oyster bar, cozy banquettes and sharply dressed service staff.The menu is just as seductive as <span>...</span></p></div>",
230,"<div class=""js-show-description-text""><p></p><p>Go ahead and pinch yourself—you’re not dreaming. Pinch Chinese is really that good. The décor, with red metal chairs and birch countertops, is straight-up SoHo, but the food is all Flushing. The glass-paneled kitchen with mask-wearing chefs can veer a bit lab-like, but don’t worry, as they’re busy making soup dumplings. These <span>...</span></p></div>",
231,"<div class=""js-show-description-text""><p></p><p>Mad for Malaysian? Head to this lively dive, sequestered in a Chinatown arcade. Proffering some of the best Malaysian treats in town, including all the classics, this address sees a deluge of regulars who pour in for a massive offering of exceptional dishes. Round tables cram a room furnished <span>...</span></p></div>",
232,"<div class=""js-show-description-text""><p></p><p>For a truly memorable sushi adventure, head to this sleek and contemporary ten-seat counter—be forewarned though that dining in the back room does not guarantee the same experience. Chef Daisuke Nakazawa’s reputation is formidable, which works as a contrast to the jovial banter between the itamae from behind the <span>...</span></p></div>",
233,"<div class=""js-show-description-text""><p></p><p>When faced with the long, no-frills menu, there should be a caution sign to not miss out on the crab and pork soup dumplings. Its plump, juicy filling and flavorful broth held in each delicate wrapper with soy-ginger seasoning explains the afternoon crowd lunching out of takeout boxes at <span>...</span></p></div>",
234,"<div class=""js-show-description-text""><p></p><p>Manhattan has classic Italian and new Italian, but not many thoughtful Italian restaurants. Tuscany native Rita Sodi is out to change that with this ristorante. She consciously selected every aspect of the design, including the linen napkins to the thick, striated glass windows that hide the modern space from <span>...</span></p></div>",
235,"<div class=""js-show-description-text""><p></p><p>This polished, airy West Village charmer is a magnet for beautiful people. Or maybe it’s just that everyone looks gorgeous in L’Artusi’s romantically lit room, divvied up into three dining options and a quiet mezzanine, alongside its more traditional dining area. A semi-open kitchen, polished and gleaming with stainless <span>...</span></p></div>",
236,"<div class=""js-show-description-text""><p>For excellent pan-African cuisine, head to this beloved West Village service counter. There are only a handful of seats, but with colorful accent pillows and decorative baskets hanging on the walls, the mood is upbeat. Owner Diana Tandia hails from Mauritania, but her menu spans the Caribbean, Nigeria, and even <span>...</span></p></div>",
237,"<div class=""js-show-description-text""><p>This modern and minimalist spot emanates with an impressive level of warmth. Beyond its entrance, find a few blonde-wood benches donning gray-blue pillows, and a U-shaped bar. Further back is the ever-immersive sushi counter, as well as a semi-private area with a large table. <br/>Temaki or hand rolls—don't miss the fantastic <span>...</span></p></div>",
238,"<div class=""js-show-description-text""><p></p><p>Charming and proudly French, this self-proclaimed gastrothèque serves delicious Gallic plates to a svelte set. While carb addicts can barely fit into these wee seats, it’s worth the squeeze for Chef Jody Williams’ famously rustic cooking. Inside, everything comes alive with jazz and chatter. Instagrammable dishes take their cue <span>...</span></p></div>",
239,"<div class=""js-show-description-text""><p></p><p>Situated just below street level, DOMODOMO is sleek and lovely, with carefully constructed wood furnishings and a long, smooth blonde wood counter. The buzz at the bar is magnetizing, and service is stellar with each sitting, as diners are presented with a small bowl of water and cleansing hand <span>...</span></p></div>",
240,"<div class=""js-show-description-text""><p></p><p>It takes considerable skill to make design look so easy. This corner restaurant may tick all the zeitgeist boxes by sporting an ersatz-industrial look, complete with exposed brick, neat light fixtures and metal chairs, but it’s one that’s tempered by huge windows that let the sun pour in. Equally <span>...</span></p></div>",
241,"<div class=""js-show-description-text""><p></p><p>Authentic Jamaican flavors and thumping reggae go hand-in-hand amid Miss Lily’s bright orange booths, retro artifacts and Formica-topped tables. Wide-open windows overlooking buzzy Houston Street add to the allure. A well-stocked bar and bins filled with produce set the mood for enjoyable classics brought to you at the hands <span>...</span></p></div>",
242,"<div class=""js-show-description-text""><p></p><p>Tomiño Taberna Gallega is a treasure trove of delicious tapas from Northwestern Spain, located here on the border of Little Italy and Chinatown. To call it a tavern may be a misnomer, as the dining room is attractively decorated with handsome wood tables, ocean-blue banquettes and a skylight overhead. <span>...</span></p></div>",
243,"<div class=""js-show-description-text""><p></p><p>Nyonya flaunts a comfy setting composed of brick walls and basic wood tables, but really, everyone’s here for their outstanding Malaysian food. Speedy servers steer diners through the varied menu—and perhaps even away from such delicacies as prawn mee, an exceptionally spiced and sour shrimp broth with noodles, pork, <span>...</span></p></div>",
244,"<div class=""js-show-description-text""><p>Straddling a bright corner of the West Village, this lovely, light-filled destination allows the talented Chef Suzanne Cupps—formerly of Untitled at the Whitney—to connect with her diners in a more personal way. Find them basking in the soft warmth emanating from the enormous wood-burning hearth, tucking into bright salads, heady <span>...</span></p></div>",
245,"<div class=""js-show-description-text""><p></p><p>The Loyal may be destined to become your new favorite American brasserie. This thoughtfully designed space is classy, comfortable and full of interesting art and tidbits; when full, the room’s energy is palpable.</p><p>The menu is expansive, so there is bound to be something for everyone. Chef John Fraser <span>...</span></p></div>",
246,"<div class=""js-show-description-text""><p></p><p>With only a few years on the downtown circuit, this chic charmer is already a bonafide Village sweetheart. Brought to you by the team behind the wildly popular Emporio and Aurora, the interior design of this restaurant features a long and welcoming bar; cozy, wood-lined banquettes; and a vibrant red-and-white mosaic <span>...</span></p></div>",
247,"<div class=""js-show-description-text""><p></p><p>Manhattan hot spots come and go (even more rapidly in the trendy Meatpacking District) but Pastis 2.0 is one watering hole that still glows anew. Keith McNally's impressively popular French bistro combines a painted tin ceiling, frosted globe lights, a curved zinc counter stocked with bottles of rosé on <span>...</span></p></div>",
248,"<div class=""js-show-description-text""><p></p><p>Occasionally, predictability can be a beautiful thing, especially when it comes to rave-worthy Italian cooking. Via Carota is not so much robotically perfect as it is pleasing—in fact it’s the kind of place where dishes can (and should) be piled on. Italian style and artistry combine in this homey <span>...</span></p></div>",
249,"<div class=""js-show-description-text""><p></p><p>It’s hard to walk by and avoid falling in love with this thoroughly charming Mediterranean favorite and its keen (if wandering) eye on Sephardic cuisine. Rebooted in a quaint new space, the open kitchen takes center stage in this bright and airy space.Golden brown crispy green olives are deliciously salty <span>...</span></p></div>",
250,"<div class=""js-show-description-text""><p></p><p>As ageless as its beautiful patrons, the brassy and mirrored Balthazar should be called “quintessentially SoHo” because it invented the term. One of the benchmark brasseries from serial restaurateur Keith McNally, the attractive space is housed in a former tannery. Those whiffs of leather have been replaced by red <span>...</span></p></div>",
251,"<div class=""js-show-description-text""><p></p><p>If you forget about your bank statement, don’t arrive faint with hunger and leave your cynicism at the door—you’ll love ZZ’s Clam Bar. With just four marble tables and a small counter, this is as intimate as it gets. But you first have to navigate the bouncer at the <span>...</span></p></div>",
252,"<div class=""js-show-description-text""><p>Chef Simone Tong, a native of Chengdu, brings her culinary flair to this contemporary Greenwich Village den. Pass through a set of hefty doors to arrive in a slim space, accoutered in warm wood, cushy banquettes, and textured walls. The menu reads like a narrative of Chinese immigrants craving a taste of <span>...</span></p></div>",
253,"<div class=""js-show-description-text""><p></p><p>Is there anything more lovely than a lazy lunch at Lupa? You’d be hard-pressed to convince the regulars otherwise, as they flock in droves to this Thompson Street treasure for its amicable service, interesting wines and otherworldly pasta.Carefully sourced products are scattered throughout this menu—witness perfectly seared octopus alla piastra, starring tender <span>...</span></p></div>",
254,"<div class=""js-show-description-text""><p></p><p>It’s not hard to find a lobster roll in this city, and for that we can thank Rebecca Charles. This seafood institution—inspired by Charles’ childhood summers spent in Maine—has been stuffing sweet lobster meat into split-top rolls since 1997. The two-room setting offers a choice: counter seating or table <span>...</span></p></div>",
255,"<div class=""js-show-description-text""><p>With nostalgia at the forefront, Carbone is plain gorgeous. While this big and bold ode to Italian-Americana comes alive at dinnertime, lunch sees a crowd of crisp suits and Valentino-donning divas. A sense of history pervades the space, highlighting banquettes, ceramics, and chandeliers. Was the tiled-floor inspired by a certain <span>...</span></p></div>",
256,"<div class=""js-show-description-text""><p></p><p>The late, globally acclaimed chef, Joël Robuchon, returned his L'Atelier to the Big Apple, having traded in a former grand hotel for this fashionable address. The locale is the cherry on top for a fan base, who know just what to expect: ace food, steep prices, and the best pommes purée <span>...</span></p></div>",
257,"<div class=""js-show-description-text""><p></p><p>Following in the footsteps of its wildly popular Philadelphia elder, this lovely and entertaining corner gem also opened its doors to well-deserved acclaim. Set steps south of MePa, breakfast, lunch and dinner are all on offer here, with a focus on grains, sandwiches and wickedly good homemade breads.<br/>Outfitted with an open kitchen and small side <span>...</span></p></div>",
258,"<div class=""js-show-description-text""><p></p><p>This snug charmer is a local favorite fit for the modern age. Expect blistered Neapolitan-style pizzas straight from the wood oven; excellent handmade pastas; and vegetable-focused small plates.</p><p>While the city’s better Italian spots can usually be found outside Little Italy, this kitchen is working to change that impression. Reservations are hard <span>...</span></p></div>",
259,"<div class=""js-show-description-text""><p></p><p>Brought to you by Chef/owners Carlo and Michelle Pulixi, this Italian haunt has been known to stop passersby in their tracks. Fast-casual counters may dominate the culinary landscape today, but this homey and quaint osteria—laden with gleaming copper pots and rustic clay urns—aims to reflect the chef’s Sardinian roots.<br/>The menu is built <span>...</span></p></div>",
260,"<div class=""js-show-description-text""><p></p><p>At first glance, Le Gigot transports guests to an inviting little family-owned bistro—the kind you’d only find in La Ville-Lumière. The service exceeds expectations with uncharacteristic warmth that brings a welcoming vibe to the nostalgic dining room.</p><p>Tasty renditions of classic bistro fare dominate the menu, so expect the <span>...</span></p></div>",
261,"<div class=""js-show-description-text""><p></p><p>This West Village seafood shack is much more than just a destination for lobster rolls. Located on an irresistibly cute corner and outfitted with large windows, Mary’s Fish Camp tempts with creative daily specials. Scrawled on a chalkboard, these may include raw offerings and nostalgic desserts. Crowds pack into <span>...</span></p></div>",
262,"<div class=""js-show-description-text""><p></p><p>While this circa 1937 watering hole has been restored, nothing here changes and that is its beauty. It is the quintessential New York City tavern and is still decked out with dark wood, checkerboard tiled floors, red banquettes and those caricature-lined walls. Like the throwback ambience, this menu reveres <span>...</span></p></div>",
263,"<div class=""js-show-description-text""><p>Brought to Mott Street, this charming spot from Chefs Ann Redding and Matt Danzer can be spotted from afar by its corrugated metal-and-wood façade. Inside, the design is just as you'd expect—mashed-up diner with Thai accents, like woven bamboo, rattan screens, and a counter with shiny wood seats. Behind is the <span>...</span></p></div>",
264,"<div class=""js-show-description-text""><p>The decadent cooking at The Beatrice Inn, which catapulted Chef Angie Mar to fame, is perfectly translated at her latest venture, which fittingly brings to life fine French cuisine in the form of fish and fowl. Diners should make their way into this mini, but mighty stunning space, accoutred with <span>...</span></p></div>",
265,"<div class=""js-show-description-text""><p>It's good news for those inquisitive diners always asking about recipes—it's all right in front of you at this LES hot spot. A well-orchestrated adaptation of classic Japanese shabu shabu, the cooks here literally “swish swish” a host of raw ingredients in pots of boiling water, before finishing them in <span>...</span></p></div>",
266,"<div class=""js-show-description-text""><p>Japanese-Italian fusion is on the menu at this contemporary gem, displaying a myriad of colors and textures. While herringbone tile floors greet you upon entry, natural wood planks dominate the sunken dining room. A lofty ceiling looks down upon the bar area, marked by handsome square columns, a few tables <span>...</span></p></div>",
267,"<div class=""js-show-description-text""><p>Chef Ivy Stark has returned to her modern Mexican roots at this wonderful dining room set at the base of Nolita’s SoHotel. Exuding both an industrial-chic aura and Caribbean-lush demeanor, the space is focused around a stunning central wood sculpture and massive windows that showcase the lively bustle of Broome <span>...</span></p></div>",
268,"<div class=""js-show-description-text""><p></p><p>Push through this classic SoHo street, dotted with boutiques and coffee shops, and head straight into Rubirosa's narrow, dimly lit dining room simply to discover how very cool pizza can be. Although it's loud and may be cramped with the requisite 80s tunes blaring overhead, this adept Italian-American kitchen is bright <span>...</span></p></div>",
269,"<div class=""js-show-description-text""><p><span><span>This enticing Indonesian restaurant, brought to you by Chef/co-owner Cédric Vongerichten boasts a modern French flair. Located in ever-fashionable SoHo, the long and sleek restaurant is a riot for the senses, thanks to a lush, exotic décor filled with candles, pillows, live plants, and warm teak paneling.</span></span><br/><span><span>The seasonal menu is <span>...</span></span></span></p></div>",
270,"<div class=""js-show-description-text""><p></p><p>The petite space is serene and showcases a particularly pleasing mix of blonde wood and exposed brick, decorated with little more than birch branches.</p><p>Begin with a plump Kumamoto oyster with slightly sweet ponzu sauce and lime zest in the company of sashimi. Their nigiri—with bright flavors and skilled <span>...</span></p></div>",
271,"<div class=""js-show-description-text""><p></p><p><span><span>It gets shoulder-to-shoulder at this tiny and mighty popular restaurant, with its vibrant canary-yellow booths, mosaic tiles and cozy wood paneling. Owner Nialls Fallon and Chef Nick Perkins also own the acclaimed Bed-Stuy hot spot, Hart, but here at Cervo’s, they take a crack at the coastal flavors of Spain and Portugal, with <span>...</span></span></span></p></div>",
272,"<div class=""js-show-description-text""><p><span><span><span>Like its UES elder, this little den is helmed by Chef Junichi Matsuzaki of the Ash Room. In Japanese tradition, savory small plates called otsumami may be offered along with alcoholic beverages. These bites tend to be anything but small, however, and following suit, the chef's precise, seasonally driven omakase <span>...</span></span></span></span></p></div>",
